Species,Platform,Name,Assays,Casey's Y/N as of 2/8,Proc
homo sapiens,A-GEOD-5474,Human 6k Transcriptionally Informative Gene Panel for DASL,2033,N,This technology is dreadful. Do not recommend processing.
homo sapiens,A-AFFY-44,Affymetrix GeneChip Human Genome HG-U133A [HG-U133A],2025,Y,Affy Processor (Brainarray)
hordeum vulgare,A-AFFY-31,Affymetrix GeneChip Barley Genome [Barley1],1995,Y,Affy Processor (Brainarray)
mus musculus,A-GEOD-11180,[HT_MG-430_PM] Affymetrix HT MG-430 PM Array Plate,1993,Y,Affy Processor (Brainarray)
gallus gallus,A-AFFY-103,Affymetrix GeneChip Chicken Genome Array [Chicken],1902,Y,Affy Processor (Brainarray)
apis mellifera,A-MEXP-755,UIUC Honey bee oligo 13K v1,1892,N,
homo sapiens,A-MEXP-691,Illumina Human-6 v1 Expression BeadChip,1879,Y,Piccolo Illumina Processor
rattus norvegicus,A-GEOD-5426,Unknown!,1868,N,
homo sapiens,A-GEOD-16686,[HuGene-2_0-st] Affymetrix Human Gene 2.0 ST Array [transcript (gene) version],1857,Y,Affy Processor (Brainarray)
arabidopsis thaliana,A-GEOD-9553,URGV Arabidopsis thaliana 34.6K CATMA_v5,1854,N,
oryza sativa,A-AFFY-126,Affymetrix GeneChip Rice Genome Array [Rice],1839,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-15308,"Affymetrix Human Genome U133 Plus 2.0 Array [Brainarray Version 15.0.0, HGU133Plus2_Hs_ENTREZG]",1834,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-13497,Agilent-026652 Whole Human Genome Microarray 4x44K v2 (Probe Name version),1816,N,
danio rerio,A-AFFY-38,Affymetrix GeneChip Zebrafish Genome Array [Zebrafish],1815,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-17586,[HTA-2_0] - Affymetrix GeneChip HTA-2_0 - Gene Level - HTA-2_0.r1.Psrs.mps probesets,1784,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-13534,Illumina HumanMethylation450 BeadChip (HumanMethylation450_15017482_v.1.1),1727,N,Methylation - not rna assay
homo sapiens,A-GEOD-10850,Agilent-021827 Human miRNA Microarray (V3) (miRBase release 12.0 miRNA ID version),1711,N,
bos taurus,A-AFFY-128,Affymetrix GeneChip Bovine Genome Array Bovine,1697,Y,Affy Processor (Brainarray)
triticum aestivum,A-AFFY-57,Affymetrix GeneChip Wheat Genome Array [wheat],1667,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-1746,Agilent Custom Human Neuroblastoma Chip 251496110,1653,N,
mus musculus,A-MEXP-1174,Illumina MouseRef-8 v2.0 Expression BeadChip,1642,Y,Piccolo Illumina Processor
homo sapiens,A-GEOD-13607,Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Feature Number version),1607,N,
homo sapiens,A-GEOD-10687,"Rosetta/Merck Human RSTA Affymetrix 1.0 microarray, Custom CDF",1549,Maybe?,Not sure if this is on brainarray
homo sapiens,A-MEXP-620,OSU-CCC_hsa-miRNA-chip_v3,1547,N,
Multiple,A-AFFY-45,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],1542,Y,Affy Processor (Brainarray)
mus musculus,A-GEOD-11202,Agilent-026655 Whole Mouse Genome Microarray 4x44K v2 (Probe Name version),1484,N,
homo sapiens,A-GEOD-15207,GeneChip PrimeView Human Gene Expression Array,1460,N,
homo sapiens,A-GEOD-16876,Agilent-020382 Human Custom Microarray 44k (Feature Number version),1454,N,
mus musculus,A-TIGR-8,"TIGR M. musculus 27k array, v.2",1433,N,
Multiple,A-AFFY-6,Affymetrix GeneChip Murine Genome U74Av2 [MG_U74Av2],1393,Y,Affy Processor (Brainarray)
oryza sativa japonica group,A-GEOD-6864,Rice 44K,1339,N,
homo sapiens,A-MEXP-1173,Illumina HumanWG-6 v3.0 Expression BeadChip,1330,Y,Piccolo Illumina Processor
drosophila melanogaster,A-AFFY-17,Affymetrix GeneChip Drosophila Genome [DrosGenome1],1328,Y,Affy Processor (Brainarray)
homo sapiens,A-NCMF-2,NCMF Human HO.35k,1298,N,
rattus norvegicus,A-MEXP-1278,Illumina RatRef-12 v1 Expression BeadChip,1286,Y,Piccolo Illumina Processor
homo sapiens,A-MEXP-1152,MRC Homo sapiens 25K,1260,N,
Multiple,A-AFFY-44,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],1250,Y,Affy Processor (Brainarray)
glycine max,A-AFFY-59,Affymetrix GeneChip Soybean Genome Array,1231,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-4557,Affymetrix GeneChip Human Genome U133 Array Set HG-U133A [CDF: Hs133A_Hs_UG_3],1218,Y,Affy Processor (Brainarray)
homo sapiens,A-AFFY-101,Affymetrix Custom Array - Almac Diagnostics Colorectal Cancer DSATM research tool ADXCRCG2a520319,1205,Y,Affy Processor (Brainarray)
macaca mulatta,A-AFFY-145,Affymetrix GeneChip Rhesus Macaque Genome Array [Rhesus],1199,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-16770,Agilent-031181 Unrestricted_Human_miRNA_V16.0_Microarray (miRBase release 16.0 miRNA ID version),1197,N,
saccharomyces cerevisiae,A-MEXP-13,Peng Yeast Noncoding RNA Processing Array,1194,N,
oryza sativa,A-GEOD-6864,Rice 44K,1165,N,
homo sapiens,A-GEOD-7473,Roche AmpliChip Leukemia Custom Microarray,1152,N,
homo sapiens,A-AFFY-76,Affymetrix High Throughput Array U133AA of Av2 [U133AAofAv2],1150,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-2335,Brainarray_CDF_HGU133plus2_v16,1102,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-8300,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,1069,Y,Affy Processor (Brainarray)
mus musculus,A-GEOD-7368,Rosetta/Merck Mouse 430 2.0 RSTA Custom CDF microarray,1054,N,
rattus norvegicus,A-GEOD-16985,[HT_Rat230_PM] Affymetrix HT RG-230 PM Array Plate,1049,Y,Affy Processor (Brainarray)
plasmodium falciparum,A-GEOD-18893,ZB/SBS-NTU Plasmodium falciparum 3D7 11.4K v2,1043,N,
rattus norvegicus,A-TIGR-9,TIGR Rattus Norvegicus array IAS_RG13,1031,N,
homo sapiens,A-MEXP-1663,Agilent Human miRNA G4470B (019118),1016,N,
mus musculus,A-GEOD-10333,Agilent-026655 Whole Mouse Genome Microarray 4x44K v2 (Feature Number version),1012,N,
homo sapiens,A-MEXP-258,OSU-CCC human & mouse microRNA 11K v2,1004,N,
arabidopsis thaliana,A-GEOD-12621,Agilent-021169 Arabidopsis 4 Oligo Microarray (V4) (Probe Name version),993,N,
homo sapiens,A-MEXP-2087,Illumina Human HT-12 WG-DASL,981,N,This technology is dreadful. Do not recommend processing.
medicago truncatula,A-AFFY-71,Affymetrix GeneChip Medicago Genome Array [Medicago],977,Y,Affy Processor (Brainarray)
escherichia coli,A-AFFY-56,Affymetrix GeneChip E.coli Genome 2.0 Array [E_coli_2],957,Y,Affy Processor (Brainarray)
rattus norvegicus,A-AFFY-160,Affymetrix GeneChip Rat Gene 1.0 ST Array [RaGene-1_0-st-v1],957,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-15315,"Affymetrix Human Genome U133 Plus 2.0 Array [Brainarray Version 15.0.0, HGU133Plus2_Hs_ENTREZG]",947,Y,Affy Processor (Brainarray)
Multiple,A-AFFY-44,Affymetrix GeneChip Mouse Genome 430 2.0 [Mouse430_2],940,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-318,Agendia Mammaprint 1.9k custom microarray,938,N,
homo sapiens,A-GEOD-16699,Agilent-039494 SurePrint G3 Human GE v2 8x60K Microarray 039381,937,N,
homo sapiens,A-GEOD-9081,Agilent-016436 Human miRNA Microarray 1.0 G447A (GeneView version),937,N,
mycobacterium tuberculosis h37rv,A-GEOD-14824,SBRI_MTuberculosis_12x130K_ver2.0,928,N,
drosophila melanogaster,A-AFFY-146,Affymetrix GeneChip Drosophila Tiling 2.0R Array [Dm_tiling2_MR],916,Y,Affy Processor (Brainarray)
canis lupus familiaris,A-AFFY-149,Affymetrix GeneChip Canine Genome 2.0 Array [Canine_2],897,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-86,TJU-Human-Mouse-MicroRNA-1.6k-v1.1,897,N,
rattus norvegicus,A-GEOD-5426,"GE Healthcare/Amersham Biosciences CodeLink UniSet Rat I Bioarray, layout EXP5280X2-648",885,N,
homo sapiens,A-AFFY-32,Affymetrix GeneChip HuGeneFL Array [HuGeneFL],881,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-9101,Affymetrix GeneChip Human Genome U133 Plus 2.0 Array (MBNI v11 Entrez Gene ID CDF),880,Y,Affy Processor (Brainarray)
pseudomonas aeruginosa,A-AFFY-30,Affymetrix GeneChip P. aeruginosa Genome[Pae_G1a],860,Y,Affy Processor MAYBE NOT BRAINARRAY? WASN'T THER EIN THE PAST
homo sapiens,A-GEOD-16311,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array [CDF: Brainarray HGU133Plus2_Hs_ENTREZG 14.0.0],857,Y,Affy Processor (Brainarray)
homo sapiens,A-UMCU-3,"UMC Utrecht H. sapiens 25K array, version 1.0",841,N,
homo sapiens,A-GEOD-16977,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [HuGene11stv1_Hs_ENSG version 14.1.0],837,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-1246,OSUCC chip version 4,837,N,
homo sapiens,A-MTAB-537,Affymetrix GeneChip miRNA 4.0 Array [miRNA-4_0],833,Maybe?,Not sure if this is on brainarray
mus musculus,A-AGIL-13,Agilent Whole Mouse Genome 012694 G4122A,831,N,
homo sapiens,A-GEOD-4723,SWEGENE_BAC_32K_Full,828,N,
zea mays,A-AFFY-77,Affymetrix GeneChip Maize Genome Array [Maize],809,Y,Affy Processor (Brainarray)
saccharomyces cerevisiae,A-GEOD-5052,GUTHRIE_YEAST_SPLICINGARRAY_v20040216a,796,N,
homo sapiens,A-MEXP-2320,"Agilent SurePrint G3 Human Gene Expression array v2, 8x60k,  384 rows x 164 cols",787,N,
mus musculus,A-AGIL-8,Agilent Mouse Microarray 011978 G4121A,782,N,
oryza sativa indica group,A-AFFY-126,Affymetrix GeneChip Rice Genome Array [Rice],772,Y,Affy Processor (Brainarray)
homo sapiens,A-GEOD-1291,Hitachisoft AceGene Human Oligo Chip 30K 1 Chip Version,765,N,
danio rerio,A-MEXP-1510,Agilent D. rerio (Zebrafish) Oligo Microarray 4x44K 019161 G2519F 85 cols x 532 rows,759,N,
homo sapiens,A-GEOD-16384,[miRNA-3] Affymetrix Multispecies miRNA-3 Array [miRNA-3_0] or [miRNA-3_1],754,Maybe?,Not sure if this is on brainarray
homo sapiens,A-GEOD-14767,Agilent-021827 Human miRNA Microarray G4470C (Feature Number version),753,N,
escherichia coli,A-AFFY-29,Affymetrix GeneChip E.coli Antisense Genome Array [Ecoli_ASv2],739,Y,Affy Processor (Brainarray)
homo sapiens,A-MEXP-1172,Illumina HumanRef-8 v3.0 Expression BeadChip,737,Y,Piccolo Illumina Processor
homo sapiens,A-GEOD-18109,CBC Homo sapiens lncRNA + mRNA microarray V2.0,731,,
homo sapiens,A-MEXP-2183,Agilent Human Gene Expression 4x44K v2 Microarray 026652 G4845A,730,,
sus scrofa,A-GEOD-7435,Swine Protein-Annotated Oligonucleotide Microarray,725,,
homo sapiens,A-GEOD-15331,Agilent-026817 University_Surrey_HumanSleep_44k_v1,714,,
marmota monax,A-GEOD-15354,NimbleGen Woodchuck Gene Expression HX3 Microarray,706,,
homo sapiens,A-GEOD-10656,"Agilent Human miRNA Microarray Release 14.0, G4471A (miRNA ID version)",698,,
mus musculus,A-GEOD-14613,[miRNA-2_0] Affymetrix Multispecies miRNA-2_0 Array,682,,
homo sapiens,A-MEXP-2102,Agilent 028004 SurePrint G3 Human GE 8x60K Microarray,681,,
homo sapiens,A-GEOD-5345,SWEGENE H_v2.1.1 55K,680,,
mus musculus,A-GEOD-17400,[MoGene-2_1-st] Affymetrix Mouse Gene 2.1 ST Array [transcript (gene) version],680,,
homo sapiens,A-GEOD-16876,Agilent-014698 Human Genome CGH Microarray 105A (G4412A),673,,
homo sapiens,A-GEOD-17027,[HG-U133A] Affymetrix Human Genome U133A Array [hgu133ahsentrezg.cdf],670,,
rattus rattus,A-TIGR-9,TIGR Rattus Norvegicus array IAS_RG13,656,,
homo sapiens,A-AFFY-184,Affymetrix GeneChip miRNA 2.0 Array [miRNA-2_0],653,,
homo sapiens,A-GEOD-4700,OSU-CCC MicroRNA Microarray Version 2.0,652,,
homo sapiens,A-AFFY-54,Affymetrix GeneChip Human X3P Array [U133_X3P],650,,
halobacterium salinarum,A-GEOD-3739,ISB Halobacterium Spotted Microarray,630,,
arabidopsis thaliana,A-GEOD-9020,Agilent-021169 Arabidopsis 4 Oligo Microarray (V4) (Feature Number version),629,,
drosophila mojavensis,A-GEOD-16433,NimbleGen Gibbs Drosophila mojavensis 135K 12-plex Array,628,,
homo sapiens,A-GEOD-8490,Illumina HumanMethylation27 BeadChip (HumanMethylation27_270596_v.1.2),625,,
mus musculus,A-AFFY-24,Affymetrix GeneChip Mouse Expression Array MOE430B [MOE430B],622,,
arabidopsis thaliana,A-MEXP-120,"CATMA Arabidopsis thaliana 23K array, version 2.3",619,,
mus musculus,A-AFFY-36,Affymetrix GeneChip Mouse Expression Array MOE430B [MOE430B],611,,
homo sapiens,A-AFFY-142,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],605,,
homo sapiens,A-GEOD-15931,Agilent-029949 Custom SurePrint G3 Human GE 8x60K Microarray [Probe Name version],600,,
staphylococcus aureus,A-BUGS-16,BuG@S S.aureus 8704 SAv1_0_1,599,,
drosophila melanogaster,A-GEOD-17887,NimbleGen D. melanogaster Gene Expression 12x135K Array [090828_Dmel_exp],596,,
homo sapiens,A-GEOD-5858,DASL Human Cancer Panel by Gene,596,,
homo sapiens,A-GEOD-5873,DASL Human Cancer Panel by Gene,596,,
sus scrofa,A-GEOD-11445,[Agilent-019442] Agilent/INRA FH Sus scrofa 15K muscle array [Probe Name version],595,,
arabidopsis thaliana,A-GEOD-4346,URGV Arabidopsis thaliana 25K CATMA_v2.2,578,,
arabidopsis thaliana,A-GEOD-6403,URGV Arabidopsis thaliana 25K CATMA_v2.3,576,,
macaca mulatta,A-GEOD-14569,Agilent-015421 Rhesus Macaque Gene Expression Microarray (Probe Name Version),574,,
mus musculus,A-MEXP-533,Illumina Mouse-6 v1 Expression BeadChip,572,,
mus musculus,A-GEOD-3677,Rosetta/Merck Mouse 44k 1.0 microarray,571,,
homo sapiens,A-GEOD-18649,NanoString nCounter GX Human Immunology v2,569,,
homo sapiens,A-GEHB-1,GE Healthcare/Amersham Biosciences CodeLink? Human Whole Genome Bioarray,557,,
homo sapiens,A-MEXP-2334,Brainarray_CDF_HGU133plus2_v16,553,,
homo sapiens,A-MEXP-1597,Agilent Human Genome CGH Microarray 244A 014693,551,,
arabidopsis thaliana,A-MEXP-1038,Agilent Arabidopsis 3 Oligo Microarray 4x44K 015059 G2519F,548,,
homo sapiens,A-GEOD-16070,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],548,,
mus musculus,A-AFFY-7,Affymetrix GeneChip Murine Genome U74Bv2 [MG_U74Bv2],545,,
homo sapiens,A-GEOD-9128,Agilent-014693 Human Genome CGH Microarray 244A (G4411B) (Probe name version),542,,
homo sapiens,A-MEXP-1747,Agilent Custom Human Neuroblastoma Chip 251496110,542,,
homo sapiens,A-AFFY-44,Agilent-014693 Human Genome CGH Microarray 244A (G4411B) (Probe name version),538,,
homo sapiens,A-AFFY-44,CIT-aCGH-V708-HS,537,,
homo sapiens,A-GEOD-4044,CodeLink UniSet Human 20K I Bioarray,536,,
escherichia coli str. k-12 substr. mg1655,A-AFFY-56,Affymetrix GeneChip E.coli Genome 2.0 Array [E_coli_2],535,,
homo sapiens,A-MEXP-1838,OSU CCC miRNA chip v4,530,,
homo sapiens,A-AGIL-14,Agilent Human 1A Microarray 011521 G4110A (2004 annotation),529,,
vitis vinifera,A-GEOD-13936,NimbleGen 090918 Vitus vinifera exp HX12,529,,
mus musculus,A-AFFY-6,Affymetrix GeneChip Murine Genome U74Bv2 [MG_U74Bv2],526,,
mus musculus,A-GEOD-6794,Rosetta/Merck Mouse RSTA Custom Affymetrix 1.0 microarray,525,,
bos taurus,A-GEOD-13226,Agilent-028298 Embryogene Bovine 45K microarray,519,,
homo sapiens,A-MEXP-705,Ambion mirVanaTM miRNA Bioarray V2  - 1566V2,518,,
rattus norvegicus,A-GEOD-17117,[RaGene-2_0-st] Affymetrix Rat Gene 2.0 ST Array [transcript (gene) version],515,,
homo sapiens,A-AFFY-37,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],512,,
homo sapiens,A-MEXP-2104,Agilent 028004 SurePrint G3 Human GE 8x60K Microarray (dessen),510,,
homo sapiens,A-AFFY-72,Affymetrix GeneChip Human Genome U133 Plus 2.0 [HG-U133_Plus_2],509,,
mus musculus,A-AFFY-24,Affymetrix GeneChip Mouse Expression Array MOE430A [MOE430A],509,,
homo sapiens,A-MEXP-255,DKFZ_H_sapiens_Neuroblastoma_Chip_10k_v1,502,,
homo sapiens,A-GEOD-14550,Agilent Whole Human Genome Microarray 4x44K 014850 G4112F (85 cols x 532 rows),502,,
homo sapiens,A-GEOD-3676,NKI-CMF Homo sapiens 35k oligo array,501,,
helianthus annuus,A-GEOD-10568,[SYNG010s520477] Affymetrix Helianthus annuus 94K,498,,
homo sapiens,A-GEOD-19607,[hGlue1_0.r3] Custom Affymetrix Human Transcriptome Array,495,,
homo sapiens,A-MEXP-931,Illumina HumanRef-8 v2 Expression BeadChip,495,,
homo sapiens,A-GEOD-16025,NimbleGen Homo sapiens Expression Array [100718_HG18_opt_expr],494,,
homo sapiens,A-GEOD-6955,"Agilent Human miRNA Microarray, Version 1",493,,
homo sapiens,A-GEOD-15648,[HuGene-1_0-st] Affymetrix Human Gene 1.0 ST Array [HuGene10stv1_Hs_ENTREZG version 13.0.0],492,,
homo sapiens,A-GEOD-19197,CMGG Human V1.1 60k [Probe Name Version],488,,
homo sapiens,A-GEOD-17692,[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version],484,,
homo sapiens,A-AFFY-142,Affymetrix GeneChip Human Genome HG-U133A [HG-U133A],484,,
homo sapiens,A-MEXP-2271,Illumina human WG6 BeadChip v3  (HumanWG-6_V3_0_R0_11282955_A),469,,
gallus gallus,A-UMCU-8,"UMC Utrecht G. gallus 24K array, version 1.0",468,,
saccharomyces cerevisiae,A-AFFY-116,Affymetrix Custom Array - S. cerevisiae Tiling Steinmetz,468,,
rattus norvegicus,A-GEOD-15084,Agilent-028279 SurePrint G3 Rat GE 8x60K Microarray (Probe Name version),465,,
homo sapiens,A-AFFY-111,Affymetrix Custom Array [NuGO_Hs1a520180],459,,
homo sapiens,A-MEXP-1914,CIT-aCGH-V708-HS,458,,
sus scrofa,A-GEOD-10162,Agilent-020109 Porcine Gene Expression Microarray(44K) (Probe Name version),455,,
salmo salar,A-MEXP-2065,Atlantic salmon_Salar2_Stirling_AgilentCustom_44K (85 col x 532 rows),452,,
